pair,predicted_move_%,spread,sniper_score
DOGE_USDT,0.0136,1e-05,1238.9033
AVAX_USDT,0.0901,0.003,30.0316
LINK_USDT,0.0177,0.001,17.7079
LTC_USDT,0.037,0.01,3.7044
ETH_USDT,0.0355,0.01,3.5511
OP_USDT,0.0018,0.01,0.1849
BTC_USDT,-0.0821,0.1,-0.8209
XRP_USDT,-0.0167,0.01,-1.6683
SUI_USDT,-0.04,0.01,-3.995
DOT_USDT,-0.0046,0.001,-4.603
TRX_USDT,-0.0462,0.01,-4.6168
SOL_USDT,-0.0515,0.01,-5.146
RUNE_USDT,-0.0531,0.01,-5.3046
BNB_USDT,-0.0755,0.01,-7.5448
SHIB_USDT,-0.1474,0.01,-14.7399
ATOM_USDT,-0.0153,0.001,-15.2421
ARB_USDT,-0.0018,0.0001,-17.5945
ADA_USDT,-0.0997,0.0001,-987.5139
